roomaji,katakana,series,difficulty_level
a,\u30A2,a,1
i,\u30A4,a,1
u,\u30A6,a,1
e,\u30A8,a,1
o,\u30AA,a,1
ka,\u30AB,ka,2
ki,\u30AD,ka,2
ku,\u30AE,ka,2
ke,\u30B1,ka,2
ko,\u30B3,ka,2
sa,\u30B5,sa,2
shi,\u30B7,sa,2
su,\u30B9,sa,2
se,\u30BB,sa,2
so,\u30BD,sa,2
ta,\u30BF,ta,3
chi,\u30C1,ta,3
tsu,\u30C4,ta,3
te,\u30C6,ta,3
to,\u30C8,ta,3
na,\u30CA,na,3
ni,\u30CB,na,3
nu,\u30CC,na,3
ne,\u30CD,na,3
no,\u30CE,na,3
ha,\u30CF,ha,4
hi,\u30D2,ha,4
fu,\u30D5,ha,4
he,\u30D8,ha,4
ho,\u30DB,ha,4
ma,\u30DE,ma,4
mi,\u30DF,ma,4
mu,\u30E0,ma,4
me,\u30E1,ma,4
mo,\u30E2,ma,4
ya,\u30E4,ya,1
yu,\u30E6,ya,1
yo,\u30E8,ya,1
ra,\u30E9,ra,5
ri,\u30EA,ra,5
ru,\u30EB,ra,5
re,\u30EC,ra,5
ro,\u30ED,ra,5
wa,\u30EF,other,8
wo,\u30F2,other,9
n,\u30F3,other,10
ga,\u30AC,ga,5
gi,\u30AE,ga,5
gu,\u30B0,ga,5
ge,\u30B2,ga,5
go,\u30B4,ga,5
za,\u30B6,za,6
ji,\u30B8,za,6
zu,\u30BA,za,6
ze,\u30BC,za,6
zo,\u30BE,za,6
da,\u30C0,da,6
dji,\u30C2,da,6
dzu,\u30C5,da,6
de,\u30C7,da,6
do,\u30C9,da,6
ba,\u30D0,ba,7
bi,\u30D3,ba,7
bu,\u30D6,ba,7
be,\u30D8,ba,7
bo,\u30DC,ba,7
pa,\u30D1,pa,7
pi,\u30D4,pa,7
pu,\u30D7,pa,7
pe,\u30DA,pa,7
po,\u30DD,pa,7
kya,\u30AD\u30E3,kya,8
kyu,\u30AD\u30E5,kya,8
kyo,\u30AD\u30E7,kya,8
gya,\u30AE\u30E3,gya,8
gyu,\u30AE\u30E5,gya,8
gyo,\u30AE\u30E7,gya,8
sha,\u30B7\u30E3,sha,9
shu,\u30B7\u30E5,sha,9
sho,\u30B7\u30E7,sha,9
ja,\u30B8\u30E3,ja,9
ju,\u30B8\u30E5,ja,9
jo,\u30B8\u30E7,ja,9
cha,\u30C1\u30E3,cha,9
chu,\u30C1\u30E5,cha,9
cho,\u30C1\u30E7,cha,9
nya,\u30CB\u30E3,nya,8
nyu,\u30CB\u30E5,nya,8
nyo,\u30CB\u30E7,nya,8
hya,\u30D2\u30E3,hya,10
hyu,\u30D2\u30E5,hya,10
hyo,\u30D2\u30E7,hya,10
bya,\u30D3\u30E3,bya,10
byu,\u30D3\u30E5,bya,10
byo,\u30D3\u30E7,bya,10
pya,\u30D4\u30E3,pya,10
pyu,\u30D4\u30E5,pya,10
pyo,\u30D4\u30E7,pya,10
mya,\u30DF\u30E3,mya,11
my,\u30DF\u30E5,mya,11
myo,\u30DF\u30E7,mya,11
rya,\u30EA\u30E3,rya,11
ryu,\u30EA\u30E5,rya,11
ryo,\u30EA\u30E7,rya,11
